u,v,key,osmid,name,highway,oneway,reversed,length,service,geometry,tunnel
1808717341,9630747850,0,1047352423,,path,False,True,70.519,,"LINESTRING (116.4736718 39.8756123, 116.4730944 39.876066)",
1808717341,1808717299,0,169707797,学子路,residential,False,True,50.562000000000005,,"LINESTRING (116.4736718 39.8756123, 116.4736702 39.8757386, 116.4736684 39.876067)",
1808717341,5257003800,0,169707878,,residential,False,True,84.167,,"LINESTRING (116.4736718 39.8756123, 116.4727988 39.8756089, 116.4726855 39.8756089)",
1808717353,1808717255,0,169707841,日新路,residential,False,False,52.827000000000005,,"LINESTRING (116.4804098 39.8728186, 116.4806941 39.8728392, 116.4807983 39.8728777, 116.4809945 39.8729503)",
1808717353,5464996353,0,169707841,日新路,residential,False,True,41.803,,"LINESTRING (116.4804098 39.8728186, 116.480045 39.8728803, 116.4799305 39.8728959)",
1808717353,5464996371,0,567888876,,living_street,False,False,111.793,,"LINESTRING (116.4804098 39.8728186, 116.4803325 39.8725379, 116.4802512 39.8722883, 116.4799991 39.8720636, 116.4798067 39.8719907)",
1808717358,1808717172,0,169707798,秋实路,residential,False,True,50.794,,"LINESTRING (116.471917 39.8760651, 116.4719143 39.8756083)",
1808717358,1808717301,0,169707798,秋实路,residential,False,False,44.782,,"LINESTRING (116.471917 39.8760651, 116.4719178 39.8762644, 116.471923 39.8764678)",
1808717364,5258122208,0,169707880,,residential,False,False,46.801,,"LINESTRING (116.474466 39.8706201, 116.4739177 39.8706121)",
1808717364,5258122210,0,169707880,,residential,False,True,44.598,,"LINESTRING (116.474466 39.8706201, 116.4744764 39.8710211)",
1808717364,5464996385,0,169707836,春华路,residential,False,False,212.66500000000002,,"LINESTRING (116.474466 39.8706201, 116.4745572 39.8704348, 116.4761611 39.8704224, 116.4761696 39.8704905, 116.4761691 39.8709055)",
1808717377,1808717284,0,146612951,银杏大道,residential,False,False,117.689,,"LINESTRING (116.476175 39.8748397, 116.4775541 39.8748456)",
1808717377,1808717392,0,146612951,银杏大道,residential,False,True,20.088,,"LINESTRING (116.476175 39.8748397, 116.4759396 39.8748387)",
1808717377,5257004551,0,169707836,春华路,residential,False,True,77.915,,"LINESTRING (116.476175 39.8748397, 116.4761719 39.874139)",
1808717379,1808717253,0,146612951,银杏大道,residential,False,False,53.105,,"LINESTRING (116.473039 39.8748572, 116.4736613 39.8748553)",
1808717379,1808717411,0,954600895,,residential,False,False,211.572,,"LINESTRING (116.473039 39.8748572, 116.4730474 39.8729545)",
1808717379,5257003802,0,146612951,银杏大道,residential,False,True,28.741,,"LINESTRING (116.473039 39.8748572, 116.4727654 39.874858, 116.4727022 39.8748582)",
1808717380,5257004541,0,146612951,银杏大道,residential,False,False,32.635,,"LINESTRING (116.4741817 39.8748537, 116.4745641 39.8748503)",
1808717380,1808717253,0,146612951,银杏大道,residential,False,True,44.409,,"LINESTRING (116.4741817 39.8748537, 116.4736613 39.8748553)",
1808717380,5257004550,0,169707862,,service,False,False,79.249,driveway,"LINESTRING (116.4741817 39.8748537, 116.4741833 39.874141)",
1808717380,5257003754,0,543815666,,path,False,True,120.096,,"LINESTRING (116.4741817 39.8748537, 116.474184 39.8752392, 116.475089 39.875236)",
1808717381,1808717229,0,169707864,,service,False,False,83.824,driveway,"LINESTRING (116.4747592 39.8776477, 116.4757415 39.8776436)",
1808717381,2139848966,0,169707875,,residential,False,True,41.187,,"LINESTRING (116.4747592 39.8776477, 116.4747565 39.8772773)",
1808717389,1808717313,0,543815683,,footway,False,True,71.345,,"LINESTRING (116.4734092 39.8771587, 116.4727601 39.8767543)",
1808717389,1808717232,0,1047352405,思源路,residential,False,False,21.974,,"LINESTRING (116.4734092 39.8771587, 116.4736667 39.8771578)",
1808717389,1808717211,0,1047352405,思源路,residential,False,True,55.39,,"LINESTRING (116.4734092 39.8771587, 116.4727601 39.8771609)",
1808717390,5464996367,0,169707811,奥林匹克路,residential,False,False,12.519,,"LINESTRING (116.4790633 39.8718922, 116.4790087 39.8719967)",
1808717390,5464996347,0,169707811,奥林匹克路,residential,False,True,87.561,,"LINESTRING (116.4790633 39.8718922, 116.4794352 39.8711583)",
1808717390,1808717207,0,169707882,博雅路,residential,False,True,267.77500000000003,,"LINESTRING (116.4790633 39.8718922, 116.4787062 39.8718531, 116.4785479 39.8718341, 116.478387 39.871821, 116.4782843 39.8718205, 116.4779779 39.8718729, 116.4778548 39.8718871, 116.4777187 39.871886, 116.4775794 39.8718778, 116.4774218 39.8718582, 116.4773276 39.8718372, 116.4772334 39.8718042, 116.4771006 39.8717487, 116.4769764 39.8716858, 116.4765673 39.8714278, 116.476431 39.8713636, 116.4763132 39.871323, 116.4761686 39.8712737)",
1808717390,5464996371,0,567888876,,living_street,False,True,65.70100000000001,,"LINESTRING (116.4790633 39.8718922, 116.4792836 39.8718733, 116.4796698 39.8719388, 116.4798067 39.8719907)",
1808717392,1808717377,0,146612951,银杏大道,residential,False,False,20.088,,"LINESTRING (116.4759396 39.8748387, 116.476175 39.8748397)",
1808717392,5258122168,0,543815665,,residential,False,False,43.867,,"LINESTRING (116.4759396 39.8748387, 116.4759364 39.8752332)",
1808717392,5257004545,0,146612951,银杏大道,residential,False,True,36.561,,"LINESTRING (116.4759396 39.8748387, 116.4757751 39.8748402, 116.4755112 39.8748425)",
1808717393,5257004568,0,169707862,,service,False,True,33.792,driveway,"LINESTRING (116.474187 39.8724233, 116.4741863 39.8727272)",
1808717393,1808717127,0,169707880,,residential,False,False,28.906,,"LINESTRING (116.474187 39.8724233, 116.4744821 39.8722957)",
1808717393,1808717247,0,169707880,,residential,False,True,97.048,,"LINESTRING (116.474187 39.8724233, 116.4730498 39.8724233)",
1808717396,1808717340,0,954600896,,residential,False,False,51.998,,"LINESTRING (116.475497 39.877152, 116.4755032 39.8766844)",
1808717396,1808717121,0,1047352405,思源路,residential,False,False,21.427,,"LINESTRING (116.475497 39.877152, 116.4757481 39.8771516)",
1808717396,1808717280,0,1047352405,思源路,residential,False,True,63.267,,"LINESTRING (116.475497 39.877152, 116.4747556 39.8771544)",
1808717397,1808717409,0,169707797,学子路,residential,False,False,22.884,,"LINESTRING (116.473672 39.87787, 116.4736705 39.8776642)",
1808717407,11256616932,0,543815684,,unclassified,False,True,16.769,,"LINESTRING (116.4755065 39.8764579, 116.47531 39.8764591)",
1808717407,1808717162,0,954600896,,residential,False,False,71.867,,"LINESTRING (116.4755065 39.8764579, 116.4755013 39.8758116)",
1808717407,1808717340,0,954600896,,residential,False,True,25.187,,"LINESTRING (116.4755065 39.8764579, 116.4755032 39.8766844)",
1808717409,1808717326,0,169707797,学子路,residential,False,False,42.577,,"LINESTRING (116.4736705 39.8776642, 116.4736676 39.8772813)",
1808717409,1808717397,0,169707797,学子路,residential,False,True,22.884,,"LINESTRING (116.4736705 39.8776642, 116.473672 39.87787)",
1808717409,1808717334,0,169707868,,service,False,True,138.255,driveway,"LINESTRING (116.4736705 39.8776642, 116.4720504 39.8776518)",
1808717411,1808717415,0,169707881,,residential,False,True,95.929,,"LINESTRING (116.4730474 39.8729545, 116.4719233 39.8729524)",
1808717411,1808717247,0,954600895,,residential,False,False,59.067,,"LINESTRING (116.4730474 39.8729545, 116.4730498 39.8724233)",
1808717411,1808717379,0,954600895,,residential,False,True,211.572,,"LINESTRING (116.4730474 39.8729545, 116.473039 39.8748572)",
1808717412,1808717334,0,169707863,,residential,False,True,33.87,,"LINESTRING (116.472052 39.8779564, 116.4720504 39.8776518)",
1808717415,1808717245,0,169707798,秋实路,residential,False,False,212.187,,"LINESTRING (116.4719233 39.8729524, 116.4719071 39.8748606)",
1808717415,1808717411,0,169707881,,residential,False,False,95.929,,"LINESTRING (116.4719233 39.8729524, 116.4730474 39.8729545)",
2139848966,1808717118,0,169707870,,footway,False,False,84.894,,"LINESTRING (116.4747565 39.8772773, 116.4757513 39.8772694)",
2139848966,1808717381,0,169707875,,residential,False,False,41.187,,"LINESTRING (116.4747565 39.8772773, 116.4747592 39.8776477)",
2139848966,1808717280,0,169707875,,residential,False,True,13.666,,"LINESTRING (116.4747565 39.8772773, 116.4747556 39.8771544)",
2139848966,1808717326,0,169707870,,footway,False,True,92.92,,"LINESTRING (116.4747565 39.8772773, 116.4746265 39.8772778, 116.473732 39.8772811, 116.4736676 39.8772813)",
5257003753,5258122157,0,169707813,,residential,False,False,16.832,,"LINESTRING (116.4759469 39.8766766, 116.4761441 39.8766731)",
5257003753,1808717340,0,169707813,,residential,False,True,37.873,,"LINESTRING (116.4759469 39.8766766, 116.4755032 39.8766844)",
5257003753,1808717170,0,543815665,,residential,False,True,95.826,,"LINESTRING (116.4759469 39.8766766, 116.4759316 39.8758149)",
5257003754,1808717286,0,543815666,,path,False,True,41.405,,"LINESTRING (116.475089 39.875236, 116.4750977 39.8756083)",
5257003754,1808717380,0,543815666,,path,False,False,120.096,,"LINESTRING (116.475089 39.875236, 116.474184 39.8752392, 116.4741817 39.8748537)",
5257003754,5258122168,0,543940620,,footway,False,False,72.31400000000001,,"LINESTRING (116.475089 39.875236, 116.4751743 39.8752357, 116.4758754 39.8752334, 116.4759364 39.8752332)",
5257003780,11256616933,0,543815678,,footway,False,True,26.966,,"LINESTRING (116.4751002 39.8764603, 116.4750968 39.8767028)",
5257003780,11256616932,0,543815684,,unclassified,False,False,17.904,,"LINESTRING (116.4751002 39.8764603, 116.47531 39.8764591)",
5257003780,1808717208,0,543815684,,unclassified,False,True,122.74,,"LINESTRING (116.4751002 39.8764603, 116.4738489 39.8764677, 116.4736619 39.8764689)",
5257003799,9630747849,0,543815685,,path,False,True,34.63,,"LINESTRING (116.4722788 39.8760679, 116.4726846 39.8760654)",
5257003799,5257003800,0,1047352424,,path,False,False,61.721,,"LINESTRING (116.4722788 39.8760679, 116.4726855 39.8756089)",
5257003799,1808717129,0,1047352425,,path,False,False,56.879,,"LINESTRING (116.4722788 39.8760679, 116.4726829 39.8764747)",
5257003800,1808717172,0,169707878,,residential,False,True,65.811,,"LINESTRING (116.4726855 39.8756089, 116.4719143 39.8756083)",
5257003800,9630747849,0,543815686,,path,False,True,50.761,,"LINESTRING (116.4726855 39.8756089, 116.4726846 39.8760654)",
5257003800,5257003799,0,1047352424,,path,False,True,61.721,,"LINESTRING (116.4726855 39.8756089, 116.4722788 39.8760679)",
5257003800,1808717341,0,169707878,,residential,False,False,84.167,,"LINESTRING (116.4726855 39.8756089, 116.4727988 39.8756089, 116.4736718 39.8756123)",
5257003801,5257003802,0,543815687,,path,False,False,56.789,,"LINESTRING (116.4726973 39.8753689, 116.4727022 39.8748582)",
5257003802,1808717245,0,146612951,银杏大道,residential,False,True,67.851,,"LINESTRING (116.4727022 39.8748582, 116.4719071 39.8748606)",
5257003802,5257003801,0,543815687,,path,False,True,56.789,,"LINESTRING (116.4727022 39.8748582, 116.4726973 39.8753689)",
5257003802,1808717379,0,146612951,银杏大道,residential,False,False,28.741,,"LINESTRING (116.4727022 39.8748582, 116.4727654 39.874858, 116.473039 39.8748572)",
5257004541,5257004543,0,146612951,银杏大道,residential,False,False,40.153,,"LINESTRING (116.4745641 39.8748503, 116.4750346 39.8748464)",
5257004541,1808717380,0,146612951,银杏大道,residential,False,True,32.635,,"LINESTRING (116.4745641 39.8748503, 116.4741817 39.8748537)",
5257004541,5257004542,0,543815694,,footway,False,False,46.983,,"LINESTRING (116.4745641 39.8748503, 116.4745706 39.8744278)",
5257004542,5257004541,0,543815694,,footway,False,True,46.983,,"LINESTRING (116.4745706 39.8744278, 116.4745641 39.8748503)",
5257004543,5257004545,0,146612951,银杏大道,residential,False,False,40.674,,"LINESTRING (116.4750346 39.8748464, 116.4755112 39.8748425)",
5257004543,5257004541,0,146612951,银杏大道,residential,False,True,40.153,,"LINESTRING (116.4750346 39.8748464, 116.4745641 39.8748503)",
5257004543,5257004544,0,543815695,,footway,False,False,46.55,,"LINESTRING (116.4750346 39.8748464, 116.4750281 39.8744278)",
5257004544,5257004543,0,543815695,,footway,False,True,46.55,,"LINESTRING (116.4750281 39.8744278, 116.4750346 39.8748464)",
5257004545,5257004543,0,146612951,银杏大道,residential,False,True,40.674,,"LINESTRING (116.4755112 39.8748425, 116.4750346 39.8748464)",
5257004545,1808717392,0,146612951,银杏大道,residential,False,False,36.561,,"LINESTRING (116.4755112 39.8748425, 116.4757751 39.8748402, 116.4759396 39.8748387)",
5257004545,5257004546,0,543815696,,footway,False,False,45.011,,"LINESTRING (116.4755112 39.8748425, 116.4755112 39.8747393, 116.4755113 39.8744377)",
5257004546,5257004545,0,543815696,,footway,False,True,45.011,,"LINESTRING (116.4755113 39.8744377, 116.4755112 39.8747393, 116.4755112 39.8748425)",
5257004548,5257004561,0,169707862,,service,False,False,54.73,driveway,"LINESTRING (116.4741839 39.8738393, 116.474185 39.8733471)",
5257004548,5257004550,0,169707862,,service,False,True,33.548,driveway,"LINESTRING (116.4741839 39.8738393, 116.4741833 39.874141)",
5257004548,5257004552,0,543815697,,footway,False,False,81.942,,"LINESTRING (116.4741839 39.8738393, 116.4751441 39.873837)",
5257004549,5257004551,0,169707836,春华路,residential,False,False,34.093,,"LINESTRING (116.4761706 39.8738324, 116.4761719 39.874139)",
5257004549,5257004555,0,169707836,春华路,residential,False,True,37.384,,"LINESTRING (116.4761706 39.8738324, 116.4761692 39.8734962)",
5257004549,5257004552,0,543815697,,footway,False,True,87.6,,"LINESTRING (116.4761706 39.8738324, 116.4751441 39.873837)",
5257004550,5257004548,0,169707862,,service,False,False,33.548,driveway,"LINESTRING (116.4741833 39.874141, 116.4741839 39.8738393)",
5257004550,1808717380,0,169707862,,service,False,True,79.249,driveway,"LINESTRING (116.4741833 39.874141, 116.4741817 39.8748537)",
5257004550,5257004551,0,"[954600898, 543815698]",,footway,False,False,169.702,,"LINESTRING (116.4741833 39.874141, 116.4743217 39.8741409, 116.4760249 39.8741391, 116.4761719 39.874139)",building_passage
5257004551,1808717377,0,169707836,春华路,residential,False,False,77.915,,"LINESTRING (116.4761719 39.874139, 116.476175 39.8748397)",
5257004551,5257004549,0,169707836,春华路,residential,False,True,34.093,,"LINESTRING (116.4761719 39.874139, 116.4761706 39.8738324)",
5257004551,5257004550,0,"[954600898, 543815698]",,footway,False,True,169.702,,"LINESTRING (116.4761719 39.874139, 116.4760249 39.8741391, 116.4743217 39.8741409, 116.4741833 39.874141)",building_passage
5257004552,5257004549,0,543815697,,footway,False,False,87.6,,"LINESTRING (116.4751441 39.873837, 116.4761706 39.8738324)",
5257004552,5257004548,0,543815697,,footway,False,True,81.942,,"LINESTRING (116.4751441 39.873837, 116.4741839 39.8738393)",
5257004552,5257004554,0,543815699,,footway,False,False,37.873,,"LINESTRING (116.4751441 39.873837, 116.475146 39.8734964)",
5257004554,5257004562,0,543815699,,footway,False,False,17.558,,"LINESTRING (116.475146 39.8734964, 116.475147 39.8733385)",
5257004554,5257004552,0,543815699,,footway,False,True,37.873,,"LINESTRING (116.475146 39.8734964, 116.4751441 39.873837)",
5257004554,5257004555,0,543815700,,footway,False,False,87.318,,"LINESTRING (116.475146 39.8734964, 116.4761692 39.8734962)",
5257004555,5257004549,0,169707836,春华路,residential,False,False,37.384,,"LINESTRING (116.4761692 39.8734962, 116.4761706 39.8738324)",
5257004555,5257004559,0,169707836,春华路,residential,False,True,47.225,,"LINESTRING (116.4761692 39.8734962, 116.4761674 39.8730715)",
5257004555,5257004554,0,543815700,,footway,False,True,87.318,,"LINESTRING (116.4761692 39.8734962, 116.475146 39.8734964)",
5257004558,5257004563,0,543815699,,footway,False,False,9.096,,"LINESTRING (116.4751486 39.8730759, 116.4751491 39.8729941)",
5257004558,5257004562,0,543815699,,footway,False,True,29.2,,"LINESTRING (116.4751486 39.8730759, 116.475147 39.8733385)",
5257004558,5257004559,0,543815702,,footway,False,False,86.944,,"LINESTRING (116.4751486 39.8730759, 116.4761674 39.8730715)",
5257004559,5257004555,0,169707836,春华路,residential,False,False,47.225,,"LINESTRING (116.4761674 39.8730715, 116.4761692 39.8734962)",
5257004559,5257004560,0,169707836,春华路,residential,False,True,34.938,,"LINESTRING (116.4761674 39.8730715, 116.476166 39.8727573)",
5257004559,5257004558,0,543815702,,footway,False,True,86.944,,"LINESTRING (116.4761674 39.8730715, 116.4751486 39.8730759)",
5257004560,5257004559,0,169707836,春华路,residential,False,False,34.938,,"LINESTRING (116.476166 39.8727573, 116.4761674 39.8730715)",
5257004560,1808717213,0,169707836,春华路,residential,False,True,50.894,,"LINESTRING (116.476166 39.8727573, 116.4761643 39.8723515, 116.4761645 39.8722996)",
5257004560,5257004563,0,"[543815699, 543815703]",,footway,False,True,111.998,,"LINESTRING (116.476166 39.8727573, 116.4751505 39.8727663, 116.4751491 39.8729941)",
5257004561,5257004548,0,169707862,,service,False,True,54.73,driveway,"LINESTRING (116.474185 39.8733471, 116.4741839 39.8738393)",
5257004561,5257004562,0,543815704,,footway,False,False,82.101,,"LINESTRING (116.474185 39.8733471, 116.475147 39.8733385)",
5257004561,5257004568,0,169707862,,service,False,False,68.93,driveway,"LINESTRING (116.474185 39.8733471, 116.4741851 39.8732896, 116.4741863 39.8727272)",
5257004562,5257004558,0,543815699,,footway,False,False,29.2,,"LINESTRING (116.475147 39.8733385, 116.4751486 39.8730759)",
5257004562,5257004554,0,543815699,,footway,False,True,17.558,,"LINESTRING (116.475147 39.8733385, 116.475146 39.8734964)",
5257004562,5257004561,0,543815704,,footway,False,True,82.101,,"LINESTRING (116.475147 39.8733385, 116.474185 39.8733471)",
5257004563,5257004558,0,543815699,,footway,False,True,9.096,,"LINESTRING (116.4751491 39.8729941, 116.4751486 39.8730759)",
5257004563,5257004560,0,"[543815699, 543815703]",,footway,False,False,111.998,,"LINESTRING (116.4751491 39.8729941, 116.4751505 39.8727663, 116.476166 39.8727573)",
5257004563,5257004568,0,543815705,,footway,False,False,112.49700000000001,,"LINESTRING (116.4751491 39.8729941, 116.4747498 39.8729979, 116.4747464 39.8727857, 116.4746717 39.8727864, 116.4746707 39.8727225, 116.4741863 39.8727272)",
