element_type,osmid,nodes,addr:housename,building,name,geometry,height,name:en,addr:city,addr:district,addr:housenumber,addr:province,addr:street,amenity,healthcare,fast_food,shop,building:levels
way,216630148,"[2260213629, 2260213628, 2260213637, 2260213630, 2260213635, 2260213634, 2260213632, 2260213633, 2260213627, 2260213631, 2260213636, 2260213629]",科学会堂,yes,科学会堂,"POLYGON ((118.7542744 32.0585117, 118.7544622 32.0584981, 118.7545158 32.0585435, 118.7545105 32.0586208, 118.7544622 32.0586708, 118.7543925 32.0586618, 118.7543013 32.0586754, 118.7542476 32.0586618, 118.7541993 32.0586254, 118.7541993 32.0585663, 118.7542262 32.0585345, 118.7542744 32.0585117))",,,,,,,,,,,,
way,273632541,"[2784688332, 2784688333, 2784688334, 2784688335, 2784688332]",,house,北教,"POLYGON ((118.7545544 32.0593801, 118.7549154 32.0593861, 118.7549225 32.0591041, 118.7545544 32.0591161, 118.7545544 32.0593801))",,,,,,,,,,,,
way,273632585,"[2784688957, 2784688958, 2784688959, 2784688960, 2784688961, 2784688962, 2784688957]",,yes,体育馆,"POLYGON ((118.7530227 32.0595943, 118.752878 32.0595864, 118.7528686 32.0599703, 118.753415 32.0600059, 118.7534804 32.0593608, 118.7530507 32.0593371, 118.7530227 32.0595943))",,,,,,,,,,,,
way,273632592,"[2784689002, 2784689003, 2784689004, 2784689005, 2784689006, 2784689007, 2784689002]",,yes,严恺馆,"POLYGON ((118.7531992 32.0590633, 118.7533578 32.0590702, 118.7536708 32.058891, 118.7537724 32.0590151, 118.7533374 32.059239, 118.7531911 32.0592287, 118.7531992 32.0590633))",,,,,,,,,,,,
way,474162620,"[4681702192, 4681702193, 4681702194, 4681702195, 4681702192]",,yes,河海馆,"POLYGON ((118.7570478 32.0569087, 118.7578833 32.0569019, 118.7578833 32.0567223, 118.7570464 32.0567223, 118.7570478 32.0569087))",,,,,,,,,,,,
way,474162621,"[4681702199, 4681702196, 4681702197, 4681702198, 4681702199]",,yes,科学馆,"POLYGON ((118.753936 32.0596421, 118.753936 32.0598179, 118.7545545 32.059824, 118.7545618 32.0596452, 118.753936 32.0596421))",60,,,,,,,,,,,
way,475719190,"[4694433796, 4694433797, 4694433798, 4694433799, 4694433800, 4694433801, 4694433802, 4694433796]",,university,,"POLYGON ((118.7525823 32.0590849, 118.7528288 32.0589282, 118.7525576 32.0585313, 118.7527548 32.0583747, 118.7526685 32.0582546, 118.7521571 32.0585261, 118.7522557 32.0586619, 118.7525823 32.0590849))",,,,,,,,,,,,
way,475719191,"[4694433803, 4694433804, 4694433805, 4694433806, 4694433807, 4694433808, 4694433809, 4694433810, 4694433811, 4694433812, 4694433803]",College of Water Conservancy and Hydropower,school,水利水电工程学院,"POLYGON ((118.7528904 32.0588186, 118.7528103 32.0586932, 118.7535066 32.0582807, 118.7536113 32.0584164, 118.7535312 32.0584582, 118.7535805 32.0585, 118.7534943 32.058547, 118.7534326 32.0584739, 118.7533649 32.0585105, 118.7533949 32.0585455, 118.7528904 32.0588186))",,College of Water Conservancy and Hydropower,,,,,,,,,,
way,670930678,"[6282885831, 6282885832, 6282885833, 6282885834, 6282885835, 6282885836, 6282885837, 6282885838, 6282885839, 6282886460, 6282885840, 6282885841, 6282885831]",,yes,图书馆,"POLYGON ((118.7525392 32.0573042, 118.7528226 32.0575113, 118.7528627 32.0574719, 118.7529136 32.0575091, 118.7530406 32.0573843, 118.7530003 32.0573548, 118.7530655 32.0572908, 118.7527442 32.0570397, 118.7527165 32.057066, 118.7526218 32.0570619, 118.752527 32.0570578, 118.7525734 32.0572706, 118.7525392 32.0573042))",,,南京市,鼓楼区,1号,江苏省,西康路,library,,,,
way,670930679,"[6282885842, 6282885843, 6282885844, 6282885845, 6282885846, 6282885847, 6282885848, 6282885849, 6282885850, 6282885851, 6282885852, 6282885853, 6282885854, 6282885855, 6282885856, 6282885857, 6282885858, 6282885859, 6282885860, 6282885861, 6282885842]",,school,河海大学校医院,"POLYGON ((118.7522182 32.0549992, 118.7525237 32.0549926, 118.7525271 32.0551074, 118.7524985 32.055108, 118.7524996 32.0551471, 118.7524282 32.0551487, 118.7524302 32.0552166, 118.752403 32.0552171, 118.7524037 32.0552401, 118.752364 32.0552409, 118.7523647 32.0552614, 118.7523264 32.0552622, 118.752326 32.0552489, 118.752291 32.0552497, 118.7522928 32.0553109, 118.7522272 32.0553123, 118.7522232 32.0551796, 118.7523016 32.0551779, 118.7522998 32.0551206, 118.7522219 32.0551223, 118.7522182 32.0549992))",,,,,,,,,hospital,,,
way,670930680,"[6282885862, 6282885863, 6282885864, 6282885865, 6282885862]",,school,学生6舍,"POLYGON ((118.7520674 32.0548883, 118.7528756 32.0548655, 118.7528679 32.05467, 118.7520597 32.0546927, 118.7520674 32.0548883))",,,,,,,,,,,,
way,670930681,"[6282885866, 6282885867, 6282885868, 6282885869, 6282885866]",,school,学生5舍,"POLYGON ((118.7520884 32.0545538, 118.75287 32.0545475, 118.7528679 32.0543566, 118.7520863 32.054363, 118.7520884 32.0545538))",,,,,,,,,,,,
way,670930682,"[6282885870, 6282885871, 6282885872, 6282885873, 6282885870]",,school,学生4舍,"POLYGON ((118.7521437 32.054233, 118.7528675 32.0542255, 118.7528648 32.0540362, 118.7521409 32.0540437, 118.7521437 32.054233))",,,,,,,,,,,,
way,670930683,"[6282885874, 6282885875, 6282885876, 6282885877, 6282885874]",,school,学生9舍,"POLYGON ((118.7529767 32.0548224, 118.7536947 32.054806, 118.753689 32.0546265, 118.752971 32.0546429, 118.7529767 32.0548224))",,,,,,,,,,,,
way,670930684,"[6282885878, 6282885879, 6282885880, 6282885881, 6282885878]",,school,学生8舍,"POLYGON ((118.7529644 32.0544934, 118.7537168 32.0544818, 118.7537133 32.0543156, 118.7529608 32.0543273, 118.7529644 32.0544934))",,,,,,,,,,,,
way,670930685,"[6282885882, 6282885883, 6282885884, 6282886385, 6282885882]",,school,学生7舍,"POLYGON ((118.7529587 32.0541689, 118.7536941 32.0541559, 118.7536902 32.0539959, 118.7529547 32.0540089, 118.7529587 32.0541689))",,,,,,,,,,,,
way,670930686,"[6282886386, 6282886387, 6282886388, 6282886389, 6282886386]",,school,学生11舍,"POLYGON ((118.7537689 32.0546015, 118.7540019 32.0545929, 118.7539947 32.0544526, 118.7537617 32.0544612, 118.7537689 32.0546015))",,,,,,,,,,,,
way,670930687,"[6282886390, 6282886391, 6282886392, 6282886393, 6282886390]",,school,学生10舍,"POLYGON ((118.753726 32.0542718, 118.7539693 32.0542684, 118.7539667 32.0541316, 118.7537233 32.054135, 118.753726 32.0542718))",,,,,,,,,,,,
way,670930688,"[6282886394, 6282886395, 6282886396, 6282886397, 6282886398, 6282886399, 6282886400, 6282886401, 6282886402, 6282886403, 6282886404, 6282886405, 6282886411, 6282886417, 6282886412, 6282886413, 6282886414, 6282886415, 6282886416, 6282886406, 6282886407, 6282886408, 6282886409, 6282886410, 6282886394]",,school,学生1舍,"POLYGON ((118.7521147 32.0566908, 118.752299 32.0567318, 118.7522537 32.0568775, 118.7521908 32.0568635, 118.7521837 32.0568863, 118.7520471 32.0568558, 118.7520417 32.0568732, 118.7518674 32.0568341, 118.7518596 32.0568591, 118.7517537 32.0568352, 118.7517581 32.0568212, 118.7516161 32.0567891, 118.751621 32.0567735, 118.7515746 32.056763, 118.7515791 32.056749, 118.7515645 32.0567457, 118.7515949 32.0566503, 118.7516331 32.0566591, 118.7516362 32.0566497, 118.7517918 32.0566851, 118.7517984 32.0566638, 118.7519448 32.0566965, 118.7519513 32.0566756, 118.7521085 32.0567107, 118.7521147 32.0566908))",,,,,,,,,,,,
way,670930690,"[6282886418, 6282886419, 6282886420, 6282886421, 6282886422, 6282886423, 6282886424, 6282886425, 6282886426, 6282886427, 6282886428, 6282886429, 6282886430, 6282886431, 6282886432, 6282886433, 6282886434, 6282886435, 6282886436, 6282886437, 6282886418]",,school,学生2舍,"POLYGON ((118.7521741 32.0570129, 118.7521299 32.0571598, 118.752017 32.0571353, 118.7520115 32.0571538, 118.7518727 32.0571237, 118.7518661 32.0571456, 118.7517485 32.0571202, 118.751744 32.0571352, 118.7515057 32.0570836, 118.7515125 32.0570608, 118.7514771 32.0570532, 118.7515087 32.0569481, 118.7515565 32.0569584, 118.7515645 32.0569319, 118.751686 32.0569582, 118.7516899 32.0569452, 118.7518518 32.0569802, 118.7518562 32.0569657, 118.7520132 32.0569997, 118.7520193 32.0569794, 118.7521741 32.0570129))",,,,,,,,,,,,
way,670930691,"[6282886438, 6282886439, 6282886440, 6282886441, 6282886442, 6282886443, 6282886444, 6282886458, 6282886457, 6282886445, 6282886459, 6282886446, 6282886447, 6282886448, 6282886449, 6282886450, 6282886451, 6282886452, 6282886453, 6282886454, 6282886455, 6282886456, 6282886438]",,school,学生3舍,"POLYGON ((118.7518963 32.0572628, 118.7520518 32.0572961, 118.7520133 32.0574253, 118.7519182 32.057405, 118.7519118 32.0574267, 118.7517702 32.0573964, 118.7517645 32.0574156, 118.7515871 32.0573776, 118.7515828 32.0573919, 118.7515446 32.0573836, 118.7515492 32.0573685, 118.7514713 32.0573517, 118.7514799 32.0573232, 118.751447 32.0573161, 118.7514626 32.0572646, 118.7514982 32.0572723, 118.7515102 32.0572325, 118.7515968 32.0572512, 118.7516029 32.0572311, 118.7517523 32.0572633, 118.7517573 32.0572468, 118.7518924 32.0572759, 118.7518963 32.0572628))",,,,,,,,,,,,
way,670930692,"[6282886461, 6282886462, 6282886463, 6282886464, 6282886465, 6282886466, 6282886461]",,school,浴室,"POLYGON ((118.7523198 32.0555743, 118.752485 32.0555714, 118.7524804 32.0553829, 118.752423 32.0553839, 118.7524243 32.0554404, 118.7523166 32.0554423, 118.7523198 32.0555743))",,,,,,,,,,,,
way,670930693,"[6282886467, 6282886468, 6282886469, 6282886470, 6282886471, 6282886467]",,school,学生12舍,"POLYGON ((118.7521161 32.0557006, 118.7526781 32.0558736, 118.7527119 32.0557948, 118.7526744 32.055729, 118.7521704 32.0555739, 118.7521161 32.0557006))",,,,,,,,,,,,
way,670930694,"[6282886472, 6282886473, 6282886474, 6282886475, 6282886476, 6282886477, 6282886478, 6282886479, 6282886480, 6282886481, 6282886482, 6282886483, 6282886484, 6282886472]",,school,学生1食堂,"POLYGON ((118.7520539 32.0558273, 118.7523054 32.055906, 118.7522862 32.05595, 118.7523061 32.0559563, 118.7522563 32.0560705, 118.7523565 32.0561027, 118.7522769 32.0562765, 118.7521725 32.0562409, 118.7521469 32.0562998, 118.7520816 32.0562793, 118.7520904 32.0562591, 118.7519151 32.0562042, 118.7519027 32.0561744, 118.7520539 32.0558273))",,,,,,,,restaurant,,cafeteria,,
way,670930695,"[6282886485, 6282886486, 6282886487, 6282886488, 6282886489, 6282886490, 6282886478, 6282886477, 6282886485]",,school,学生2食堂,"POLYGON ((118.7524291 32.055944, 118.7525979 32.0559995, 118.7525646 32.0560723, 118.7526574 32.0561029, 118.7525253 32.0563913, 118.7522637 32.0563053, 118.7522769 32.0562765, 118.7523565 32.0561027, 118.7524291 32.055944))",,,,,,,,restaurant,,cafeteria,,
way,670930696,"[6282886491, 6282886492, 6282886493, 6282886494, 6282886491]",,school,教育超市,"POLYGON ((118.7520624 32.0558192, 118.7522599 32.0558819, 118.7523107 32.0557668, 118.7521132 32.0557042, 118.7520624 32.0558192))",,,,,,,,,,,supermarket,
way,679932665,"[6366367509, 6366367510, 6366367511, 6366367512, 6366367513, 6366367514, 6366367509]",,university,,"POLYGON ((118.7527763 32.0586863, 118.7526662 32.0585517, 118.7527584 32.0584996, 118.7527943 32.0585517, 118.753099 32.0583846, 118.7531682 32.0584649, 118.7527763 32.0586863))",,,,,,,,,,,,3
way,679932666,"[6366367515, 6366367516, 6366367517, 6366367518, 6366367519, 6366367520, 6366367521, 6366367522, 6366367523, 6366367524, 6366367525, 6366367526, 6366367527, 6366367528, 6366367529, 6366367530, 6366367531, 6366367515]",,yes,研究生餐厅,"POLYGON ((118.7565526 32.0589368, 118.7566012 32.0587984, 118.7570307 32.0589118, 118.7569836 32.0590465, 118.7568718 32.0590228, 118.75686 32.0590502, 118.7568968 32.0590602, 118.7568998 32.0590814, 118.7568762 32.0590963, 118.7567791 32.0590701, 118.7567586 32.0590789, 118.7567335 32.0590689, 118.7567571 32.0590091, 118.7567821 32.0590128, 118.7567909 32.059034, 118.7568189 32.059039, 118.7568306 32.0590103, 118.7565526 32.0589368))",,,,,,,,restaurant,,,,3
way,691045608,"[4681702199, 4681702200, 4681702201, 4681702202, 4681702199]",,yes,科学馆,"POLYGON ((118.753936 32.0596421, 118.7539323 32.0594787, 118.7536521 32.0594787, 118.7536412 32.059639, 118.753936 32.0596421))",,,,,,,,,,,,
way,783604434,"[7319151610, 7319151611, 7319151612, 7319151613, 7319151614, 7319151615, 7319151616, 7319151617, 7319151610]",,yes,河海会堂,"POLYGON ((118.7577889 32.0595838, 118.7578529 32.0594306, 118.7579283 32.0594529, 118.7580225 32.0592709, 118.7585725 32.0594657, 118.7585424 32.05952, 118.7586554 32.0595583, 118.7585047 32.0598169, 118.7577889 32.0595838))",10,,,,,,,,,,,1
way,783604435,"[7319151618, 7319151619, 7319151620, 7319151621, 7319151622, 7319151623, 7319151624, 7319151625, 7319151626, 7319151618]",,yes,闻天馆,"POLYGON ((118.7569902 32.0592773, 118.7571296 32.0589516, 118.7576307 32.0591368, 118.7576231 32.0591719, 118.7579471 32.0592805, 118.7578793 32.0593954, 118.7578115 32.0593827, 118.7577136 32.0595455, 118.757092 32.0593412, 118.7569902 32.0592773))",,,,,,,,,,,,
way,783605171,"[7319098703, 7319098704, 7319098705, 7319098706, 7319098707, 7319098708, 7319098709, 7319098710, 7319098711, 7319098712, 7319098713, 7319098714, 7319098715, 7319098716, 7319098703]",,yes,环境楼,"POLYGON ((118.7551552 32.0588385, 118.7546391 32.0582382, 118.7548275 32.0581616, 118.7549254 32.058251, 118.7558145 32.0577657, 118.7558748 32.0578902, 118.7557391 32.0579764, 118.7559501 32.0582797, 118.7560707 32.0582063, 118.756146 32.0583404, 118.755807 32.0585416, 118.7558446 32.058631, 118.7556261 32.0587299, 118.7555282 32.0586725, 118.7551552 32.0588385))",,,,,,,,,,,,
way,783618059,"[7319272700, 7319272701, 7319272702, 7319272703, 7319272700]",,school,小商店,"POLYGON ((118.7526461 32.0553507, 118.7526461 32.0551197, 118.7528642 32.0550999, 118.7528525 32.0553474, 118.7526461 32.0553507))",,,,,,,,,,,,
way,814873661,"[7611577264, 7611577265, 7611577266, 7611577267, 7611577264]",,yes,信息馆,"POLYGON ((118.7555026 32.0573897, 118.7553953 32.0572442, 118.7557655 32.0570078, 118.7558781 32.0571624, 118.7555026 32.0573897))",,,,,,,,,,,,4
way,965511507,"[8931916268, 8931916269, 8931916270, 8931916271, 8931916272, 8931916273, 8931916274, 8931916275, 8931916276, 8931916277, 8931916278, 8931916279, 8931916280, 8931916268]",,yes,,"POLYGON ((118.7584078 32.0591622, 118.7583966 32.0592553, 118.7584562 32.0592916, 118.7584786 32.0592632, 118.7586182 32.0593374, 118.7586126 32.0593737, 118.7586722 32.0594116, 118.7588305 32.0594132, 118.7588193 32.0592017, 118.7588156 32.0591638, 118.758784 32.0591307, 118.7587374 32.0591117, 118.7584339 32.0591133, 118.7584078 32.0591622))",60,,,,,,,,,,,
way,976239577,"[9034319168, 9034319169, 9034319170, 9034319171, 9034319172, 9034319173, 9034319174, 9034319175, 9034319176, 9034319177, 9034319168]",,yes,芝纶馆,"POLYGON ((118.755822 32.0588499, 118.7558644 32.0586885, 118.7560848 32.0587212, 118.7560288 32.0588858, 118.7562778 32.0589439, 118.7562455 32.0590959, 118.7553986 32.0589365, 118.7554036 32.0589038, 118.7553189 32.0588827, 118.7554758 32.0588046, 118.755822 32.0588499))",,,南京市,鼓楼区,,江苏省,华水路,,,,,6
