element_type,osmid,geometry,nodes,building,leisure,name,source,addr:city,addr:district,addr:postcode,addr:province,addr:street,amenity,building:levels,name:en,fast_food,tourism,operator,layer,ways,type
way,54827271,"POLYGON ((112.9411167 28.1839202, 112.9405743 28.1839014, 112.9405481 28.1844889, 112.9410904 28.1845077, 112.9411167 28.1839202))","[690149638, 690149641, 690149644, 690149647, 690149638]",university,sports_hall,体育馆,Yahoo hires,,,,,,,,,,,,,,
way,54827275,"POLYGON ((112.9386081 28.1834061, 112.938584 28.1837388, 112.9385667 28.1839787, 112.9390687 28.1840069, 112.9391101 28.1834343, 112.9388147 28.1834177, 112.9386081 28.1834061))","[690149751, 2774498621, 690149752, 690149753, 690149754, 3202641520, 690149751]",yes,,湖南大学图书馆,CSU,CHANGSHA,岳麓区,410012,湖南省,麓山南路,library,1,,,,,,,
way,272516773,"POLYGON ((112.9392459 28.1818442, 112.9392774 28.1812681, 112.9397891 28.1812681, 112.939772 28.181425, 112.9397692 28.1814501, 112.9397662 28.1814774, 112.9397262 28.1818442, 112.9392459 28.1818442))","[2774498544, 2774498545, 2774498546, 3130909805, 3162474162, 3130909806, 2774498547, 2774498544]",university,,复临舍,,,,,,,,,,,,,,,
way,272516774,"POLYGON ((112.9391528 28.1824262, 112.9391637 28.1819939, 112.9395926 28.1820023, 112.9395893 28.1821371, 112.9393296 28.182132, 112.9393246 28.1823291, 112.9395859 28.1823342, 112.9395833 28.1824346, 112.9391528 28.1824262))","[2774498548, 2774498549, 2774498551, 3188074215, 3188074216, 3188074217, 3188074218, 2774498552, 2774498548]",university,,外国语学院和国防生办公室（二办）,,,,,,,,,,,,,,,
way,272516776,"POLYGON ((112.9400203 28.1816748, 112.939804 28.1816639, 112.9398123 28.1815354, 112.9398875 28.1815392, 112.939893 28.1814544, 112.9398989 28.1813646, 112.9411192 28.1814261, 112.9411001 28.1817211, 112.9408649 28.1817093, 112.9408714 28.1816076, 112.9400274 28.1815651, 112.9400203 28.1816748))","[2774498560, 3442440881, 3442440883, 3442440882, 3162474161, 2774498561, 2774498562, 2774498564, 2774498565, 2774498566, 3442440880, 2774498560]",university,,中楼,,,,,,,,,,,,,,,
way,272516779,"POLYGON ((112.9395875 28.1809939, 112.9395868 28.1807996, 112.9396444 28.1807998, 112.9396444 28.1808376, 112.9397557 28.1808376, 112.9397544 28.18068, 112.9394781 28.1806804, 112.9394787 28.1802493, 112.9399861 28.1802519, 112.9399812 28.1809936, 112.9395875 28.1809939))","[2774498583, 3184256902, 3184256901, 3184256900, 3184256899, 3184256898, 3184256897, 2774498584, 2774498585, 2774498588, 2774498583]",university,,工商管理学院,,,,,,,,,,,,,,,
way,272516788,"POLYGON ((112.9379607 28.184848, 112.9379698 28.1847306, 112.9381696 28.1847427, 112.9381728 28.1847014, 112.9386152 28.1847282, 112.9386123 28.1847659, 112.9388166 28.1847783, 112.9388071 28.1849001, 112.938644 28.1848902, 112.9386392 28.1849513, 112.9381177 28.1849197, 112.9381225 28.1848577, 112.9379607 28.184848))","[2774498612, 2774498615, 3442441946, 3442441947, 3442441948, 3442441949, 2774498616, 2774498618, 3442441942, 3442441943, 3442441944, 3442441945, 2774498612]",university,,东楼,,,,,,,,,,,,,,,
way,272516790,"POLYGON ((112.9375332 28.1838175, 112.9375341 28.1838022, 112.9374533 28.1837432, 112.9374399 28.1836522, 112.9374325 28.1834792, 112.9374351 28.1833386, 112.9377802 28.1833302, 112.9377821 28.1836072, 112.9377746 28.1837456, 112.9377353 28.1837902, 112.9377312 28.1838133, 112.9375332 28.1838175))","[2774498622, 3442441927, 3442441928, 2774498623, 2774498624, 2774498625, 2774498626, 2774498627, 2774498628, 2774498629, 3442441926, 2774498622]",university,,湖南大学图书馆特藏分馆,,,,,,,,,,,,,,,
way,307871886,"POLYGON ((112.9398633 28.1727073, 112.9399408 28.1726169, 112.9401634 28.1727653, 112.9402398 28.1726762, 112.9402953 28.1726114, 112.939946 28.1723787, 112.9400304 28.1722802, 112.9407826 28.1727813, 112.9408292 28.172727, 112.9410392 28.1728668, 112.9406988 28.1732639, 112.9398633 28.1727073))","[3131013772, 3444498138, 3444498139, 3444498137, 3444498141, 3444498140, 3131013773, 3444498143, 3444498142, 3131013774, 3131013775, 3131013772]",university,,湖南大学综合楼,,,,,,,,,,,,,,,
way,310762331,"POLYGON ((112.940091 28.180976, 112.9400827 28.1803956, 112.9404376 28.1803916, 112.9404458 28.1809721, 112.940091 28.180976))","[3162474188, 3162474189, 3162474190, 3162474191, 3162474188]",university,,前进楼,,,,,,,,,,,,,,,
way,310763587,"POLYGON ((112.9380895 28.1824451, 112.9380922 28.1822337, 112.9385471 28.1822383, 112.9385463 28.182299, 112.9386304 28.1822998, 112.9386322 28.1821591, 112.938538 28.1821582, 112.9385398 28.1820198, 112.9388457 28.1820229, 112.9388401 28.1824526, 112.9380895 28.1824451))","[3162489322, 3162489323, 3162489324, 3162489325, 3162489326, 3162489327, 3162489328, 3162489329, 3162489330, 3162489331, 3162489322]",university,,办公楼,,,,,,,,,,,,,,,
way,310763589,"POLYGON ((112.9378232 28.1813268, 112.9378238 28.1811815, 112.9384457 28.1811835, 112.9384473 28.1808209, 112.9381993 28.1808201, 112.9381984 28.181022, 112.937814 28.1810208, 112.9378156 28.1806378, 112.9387486 28.1806408, 112.9387474 28.1809295, 112.9385654 28.1809289, 112.9385636 28.1813685, 112.9384368 28.1813681, 112.9384371 28.1812958, 112.9381689 28.1812949, 112.9381688 28.1813279, 112.9378232 28.1813268))","[3162489340, 3162489341, 3442440891, 3442440892, 3442441893, 3442441894, 3442441895, 3442441896, 3162489342, 3162489343, 3162489344, 3162489345, 3442440889, 3162489346, 3162489347, 3442440890, 3162489340]",university,,逸夫楼,,,,,,,,,Run Run Shaw Building,,,,,,
way,312550765,"POLYGON ((112.9427965 28.1823644, 112.9428019 28.1819566, 112.9433128 28.1819619, 112.9433074 28.1823697, 112.9427965 28.1823644))","[3184239233, 3184239234, 3184239235, 3184239236, 3184239233]",yes,,湖南大学五、三食堂,,,,,,,restaurant,,,cafeteria,,,,,
way,312552700,"POLYGON ((112.9389911 28.1832766, 112.9389849 28.1831658, 112.9391481 28.1831587, 112.9391542 28.1832695, 112.9389911 28.1832766))","[3184256887, 3184256888, 3184256889, 3184256890, 3184256887]",yes,,自卑亭,,,,,,,,,,,,,,,
way,312886955,"POLYGON ((112.9378075 28.1823854, 112.938068 28.1823897, 112.9380747 28.1820718, 112.9378142 28.1820675, 112.9378075 28.1823854))","[3188074211, 3188074212, 3188074213, 3188074214, 3188074211]",university,,生物学院,,,,,,,,,,,,,,,
way,312886964,"POLYGON ((112.9423888 28.1824985, 112.9427027 28.1824951, 112.9426978 28.1821422, 112.9424691 28.1821447, 112.9424697 28.1821897, 112.9424502 28.1821899, 112.9424507 28.182227, 112.9424213 28.1822273, 112.9424221 28.1822816, 112.9423858 28.182282, 112.9423888 28.1824985))","[3188074339, 3188074340, 3188074341, 3188074342, 3188074343, 3188074344, 3188074345, 3188074346, 3188074347, 3188074348, 3188074339]",university,,建筑与规划学院,,,,,,,,5,,,,,,,
way,312886965,"POLYGON ((112.9379397 28.1843397, 112.9391962 28.184408, 112.9392078 28.1842425, 112.9379513 28.1841741, 112.9379397 28.1843397))","[3188074349, 3188074350, 3188074351, 3188074352, 3188074349]",university,,化工楼,,,,,,,,,,,,,,,
way,314215552,"POLYGON ((112.9393177 28.184837, 112.9395525 28.1848541, 112.9395471 28.1849121, 112.9403464 28.1849704, 112.940352 28.1849105, 112.940566 28.1849261, 112.9405768 28.1848107, 112.9393287 28.1847196, 112.9393177 28.184837))","[3202641521, 3202641522, 3202641523, 3202641524, 3202641525, 3202641526, 3202641527, 3202641528, 3202641521]",university,,电气与信息工程学院,,,,,,,,,,,,,,,
way,314215553,"POLYGON ((112.9365337 28.1848189, 112.9367161 28.1848352, 112.9367248 28.1847598, 112.9367901 28.1847657, 112.9367781 28.1848698, 112.9370159 28.1848911, 112.9370287 28.1847804, 112.9370912 28.184786, 112.937084 28.1848482, 112.9372265 28.1848609, 112.9372509 28.1846486, 112.9365605 28.1845868, 112.9365337 28.1848189))","[3202641530, 3202641531, 3202641532, 3202641533, 3202641534, 3202641535, 3202641536, 3202641537, 3202641538, 3202641539, 3202641540, 3202641541, 3202641530]",university,,物理与微电子科学学院,,,,,,,,,,,,,,,
way,321958795,"POLYGON ((112.9352166 28.1834235, 112.9351504 28.1830346, 112.9359171 28.1829277, 112.9359943 28.183302, 112.9352166 28.1834235))","[3287268573, 3287268574, 3287268575, 3287268576, 3287268573]",yes,,中国书院博物馆,,,,,,,,,,,museum,,,,
way,337142398,"POLYGON ((112.9413589 28.1804175, 112.9413518 28.1798581, 112.9416827 28.1798549, 112.9416898 28.1804143, 112.9413589 28.1804175))","[3442440836, 3442440837, 3442440838, 3442440839, 3442440836]",university,,,,,,,,,,,,,,,,,
way,337142399,"POLYGON ((112.9407581 28.1810926, 112.9412574 28.1810788, 112.9412534 28.1809659, 112.9407541 28.1809797, 112.9407581 28.1810926))","[3442440840, 3442440841, 3442440842, 3442440843, 3442440840]",university,,,,,,,,,,,,,,,,,
way,337142400,"POLYGON ((112.9408028 28.1809591, 112.9409356 28.1809556, 112.9409327 28.1808153, 112.94126 28.1808083, 112.9414721 28.1808038, 112.9416153 28.180803, 112.9416143 28.1809549, 112.9417097 28.1809547, 112.9417079 28.1807876, 112.9417052 28.1805411, 112.9416179 28.1805441, 112.941619 28.1806361, 112.9409342 28.1806404, 112.9409265 28.1804623, 112.940797 28.180467, 112.9408028 28.1809591))","[3442440844, 11397564483, 11397564480, 11397826327, 10703182768, 10703182773, 3442440845, 10703182769, 10703182770, 10703182771, 10703182772, 3442440846, 11397564481, 11397564482, 3442440847, 3442440844]",university,,土木工程学院,,,,,,,,,,,,,,,
way,337142401,"POLYGON ((112.9405364 28.1809725, 112.9407608 28.1809706, 112.9407548 28.1804253, 112.9408124 28.1804249, 112.9408112 28.1803217, 112.9408797 28.1803211, 112.9408755 28.1799411, 112.940525 28.1799441, 112.9405364 28.1809725))","[3442440848, 3442440849, 3442440850, 3442440851, 3442440852, 3442440853, 3442440854, 3442440855, 3442440848]",university,,,,,,,,,,,,,,,,,
way,337142414,"POLYGON ((112.9365 28.1829266, 112.9368299 28.1828889, 112.9367707 28.1824864, 112.9366791 28.1824969, 112.9366906 28.1825751, 112.9365986 28.1825856, 112.9366042 28.1826233, 112.9364579 28.18264, 112.9365 28.1829266))","[3442441914, 3442441915, 3442441916, 3442441917, 3442441918, 3442441919, 3442441920, 3442441921, 3442441914]",university,,国际教育学院,,,,,,,,,,,,,,,
way,337142416,"POLYGON ((112.9367908 28.1837704, 112.9367789 28.1834926, 112.9373016 28.1834751, 112.9373136 28.1837529, 112.9367908 28.1837704))","[3442441922, 3442441923, 3442441924, 3442441925, 3442441922]",university,,大礼堂,,,,,,,,,,,,,,,
way,337142418,"POLYGON ((112.9364693 28.1854055, 112.9371881 28.1854606, 112.9372336 28.1849998, 112.9369109 28.184975, 112.9369055 28.1850306, 112.9367952 28.1850221, 112.9367089 28.1850683, 112.9366979 28.1851796, 112.9364932 28.1851639, 112.9364693 28.1854055))","[3442441929, 3442441930, 3442441931, 3442441932, 3442441933, 3442441934, 3442441935, 3442441936, 3442441937, 3442441929]",yes,,集贤宾馆,,,,,,,,,,,hotel,,,,
way,337142421,"POLYGON ((112.9373251 28.1852484, 112.9380107 28.185426, 112.9380786 28.1852224, 112.937393 28.1850447, 112.9373251 28.1852484))","[3442441938, 3442441939, 3442441940, 3442441941, 3442441938]",university,,物理实验中心,,,,,,,,,,,,,,,
way,337142429,"POLYGON ((112.9390123 28.1860993, 112.9392808 28.1861118, 112.9392909 28.1859429, 112.939249 28.1859409, 112.939251 28.185909, 112.9392925 28.185911, 112.9393067 28.1856819, 112.9392552 28.1856794, 112.9392583 28.1856285, 112.9393049 28.1856308, 112.9393114 28.1855263, 112.9392943 28.1854999, 112.9392648 28.1854818, 112.9390611 28.1854725, 112.9390525 28.1856183, 112.9392033 28.1856252, 112.9391973 28.185726, 112.9390432 28.1857189, 112.9390347 28.1858631, 112.939172 28.1858694, 112.9391678 28.1859401, 112.9390222 28.1859333, 112.9390123 28.1860993))","[3442441969, 3442441970, 3442441971, 3442441972, 3442441973, 3442441974, 3442441975, 3442441976, 3442441977, 3442441978, 3442441979, 3442441980, 3442441981, 3442441982, 3442441983, 3442441984, 3442441985, 3442441986, 3442441987, 3442441988, 3442441989, 3442441990, 3442441969]",yes,,湖南大学第四食堂,,,,,,,restaurant,,,cafeteria,,,,,
way,337142437,"POLYGON ((112.9422357 28.1832997, 112.9430027 28.1832931, 112.9430011 28.1831516, 112.9422341 28.1831583, 112.9422357 28.1832997))","[3442441999, 3442442000, 3442442001, 3442442002, 3442441999]",university,,七舍,,,,,,,,,,,,,,,
way,337142443,"POLYGON ((112.9428364 28.1814531, 112.9433729 28.1814483, 112.9433711 28.1812947, 112.9429412 28.1812985, 112.9429402 28.1812076, 112.9427704 28.1812091, 112.9427715 28.1813057, 112.9428347 28.1813051, 112.9428364 28.1814531))","[3442442021, 3442442022, 3442442023, 3442442024, 3442442025, 3442442026, 3442442027, 3442442028, 3442442021]",university,,材料科学与工程学院,,,,,,,,,,,,,,,
way,337142447,"POLYGON ((112.9360046 28.1829738, 112.9359138 28.1826576, 112.9362897 28.1825737, 112.9363805 28.18289, 112.9360046 28.1829738))","[3442442031, 3442442032, 3442442035, 3442442034, 3442442031]",university,,胜利斋,,,,,,,,,,,,,,,
way,337142451,"POLYGON ((112.9397774 28.1824224, 112.9398491 28.1824264, 112.9398453 28.1824803, 112.9408628 28.1825364, 112.9408709 28.1824214, 112.9411509 28.1824369, 112.9411609 28.1822963, 112.9408415 28.1822787, 112.9408374 28.1823363, 112.9404887 28.1823171, 112.9404849 28.1823717, 112.9397837 28.1823331, 112.9397774 28.1824224))","[3442442042, 3442442043, 3442442053, 3442442044, 3442442045, 3442442046, 3442442047, 3442442048, 3442442049, 3442442050, 3442442051, 3442442052, 3442442042]",university,,新闻传播与影视艺术学院（北楼）,,,,,,,,,,,,,,,
way,337163087,"POLYGON ((112.9428209 28.1817283, 112.9428173 28.1815538, 112.9428937 28.1815526, 112.9428944 28.1815848, 112.943227 28.1815795, 112.9432293 28.1816887, 112.9430477 28.1816916, 112.9430483 28.1817247, 112.9428209 28.1817283))","[3442632922, 3442632923, 3442632924, 3442632925, 3442632926, 3442632927, 3442632928, 3442632929, 3442632922]",university,,,,,,,,,,,,,,,,,
way,459800244,"POLYGON ((112.9412768 28.1769625, 112.9411328 28.1762343, 112.9412342 28.1762187, 112.941219 28.1761417, 112.9411139 28.1761579, 112.9410803 28.1759882, 112.9415328 28.1759187, 112.941612 28.1763188, 112.9415469 28.1763439, 112.9416577 28.176904, 112.9412768 28.1769625))","[4555408320, 4555408321, 4555408322, 4555408323, 4555408324, 4555408325, 4555408326, 4555408327, 4555408328, 4555408329, 4555408320]",yes,swimming_pool,湖南大学游泳馆,,长沙,,410082,,麓山南路,,,,,,湖南大学,,,
way,459800651,"POLYGON ((112.9403135 28.1778229, 112.940318 28.1775353, 112.940389 28.1775361, 112.9403973 28.1770098, 112.9405351 28.1770087, 112.9405348 28.1769056, 112.940399 28.1769039, 112.9403388 28.1769031, 112.9403472 28.1763755, 112.9408462 28.1763816, 112.9408376 28.1769235, 112.9406263 28.1769174, 112.9406259 28.17697, 112.9406256 28.1770082, 112.9409561 28.1770097, 112.9409519 28.1772707, 112.9408574 28.1772695, 112.9408561 28.1773569, 112.9409538 28.1773581, 112.9409513 28.1775131, 112.9408187 28.1775114, 112.9408173 28.1776011, 112.940951 28.1776027, 112.9409474 28.1778306, 112.9403135 28.1778229))","[4555412195, 4555412196, 4555412197, 11397564419, 11397564418, 11397564420, 4555412198, 4555412199, 4555412200, 4555412201, 11397564421, 11397564422, 11397826324, 4555412202, 4555412203, 4555412204, 4555412205, 4555412206, 4555412207, 4555412208, 4555412209, 4555412210, 4555412211, 4555412212, 4555412195]",university,,研究生楼,,长沙,,410082,,麓山南路,,4,,,,,1,,
way,578583510,"POLYGON ((112.9406419 28.1734603, 112.9397138 28.1728834, 112.9395421 28.1731056, 112.9404648 28.1736826, 112.9406419 28.1734603))","[5543320178, 5543320177, 5543320179, 5543320180, 5543320178]",university,,物电院B栋,,,,,,,,,,,,,,,
way,642861969,"POLYGON ((112.9368302 28.18224, 112.9368291 28.1823574, 112.9370094 28.1823587, 112.9370106 28.1822414, 112.9368302 28.18224))","[6050997050, 6050997026, 6050997027, 6050997053, 6050997050]",yes,,,,,,,,,,,,,,,,,
way,657134300,"POLYGON ((112.9463524 28.1813796, 112.946634 28.1813631, 112.9466235 28.1812232, 112.9467788 28.1812141, 112.9467842 28.1812868, 112.9469639 28.1812764, 112.9469595 28.1812179, 112.9471048 28.1812094, 112.9470955 28.1810852, 112.9469468 28.1810939, 112.9469381 28.1809786, 112.9466984 28.1809926, 112.946696 28.1809602, 112.946639 28.1809636, 112.946642 28.1810026, 112.9465587 28.1810075, 112.9465556 28.1809663, 112.9465105 28.1809689, 112.9465073 28.1809268, 112.9464028 28.1809329, 112.9464049 28.1809611, 112.9463213 28.1809659, 112.9463524 28.1813796))","[6154892551, 6154892552, 6154892553, 6154892554, 6154892555, 6154892556, 6154892557, 6154892558, 6154892559, 6154892560, 6154892561, 6154892562, 6154892563, 6154892564, 6154892565, 6154892566, 6154892567, 6154892568, 6154892569, 6154892570, 6154892571, 6154892572, 6154892551]",retail,,,,,,,,,,,,,,,,,
way,680607554,"POLYGON ((112.939745 28.180075, 112.9400064 28.1800751, 112.9400054 28.1799017, 112.9397448 28.1799008, 112.939745 28.180075))","[6372936686, 6372936687, 6372936688, 6372936689, 6372936686]",dormitory,,,,,,,,,,,,,,,,,
way,680607555,"POLYGON ((112.9401626 28.1800754, 112.940447 28.1800643, 112.940438 28.1798847, 112.9401536 28.1798958, 112.9401626 28.1800754))","[6372936690, 6372936691, 6372936692, 6372936693, 6372936690]",dormitory,,,,,,,,,,,,,,,,,
way,680607556,"POLYGON ((112.940168 28.1797621, 112.9401644 28.1796676, 112.9404568 28.179659, 112.9404604 28.1797535, 112.940168 28.1797621))","[6372936694, 6372936695, 6372936696, 6372936697, 6372936694]",dormitory,,,,,,,,,,,,,,,,,
way,680607557,"POLYGON ((112.9397791 28.1797665, 112.9397787 28.1796715, 112.9400082 28.1796815, 112.9400025 28.1797773, 112.9397791 28.1797665))","[6372936698, 6372936699, 6372936700, 6372936701, 6372936698]",dormitory,,,,,,,,,,,,,,,,,
way,680607558,"POLYGON ((112.939809 28.1795395, 112.9398099 28.1794142, 112.9400163 28.1794111, 112.9400145 28.1795411, 112.939809 28.1795395))","[6372936702, 6372936703, 6372936704, 6372936705, 6372936702]",dormitory,,,,,,,,,,,,,,,,,
way,680607559,"POLYGON ((112.9401666 28.1795199, 112.9401658 28.1794111, 112.9404528 28.1794095, 112.9404536 28.1795182, 112.9401666 28.1795199))","[6372936706, 6372936707, 6372936708, 6372936709, 6372936706]",dormitory,,,,,,,,,,,,,,,,,
way,680607560,"POLYGON ((112.9398092 28.1793016, 112.9398042 28.1792237, 112.9400151 28.1792119, 112.9400181 28.1792889, 112.9398092 28.1793016))","[6372936710, 6372936711, 6372936712, 6372936713, 6372936710]",dormitory,,,,,,,,,,,,,,,,,
way,680607561,"POLYGON ((112.9401582 28.1792968, 112.9401582 28.1792069, 112.9404425 28.1792069, 112.9404425 28.1792968, 112.9401582 28.1792968))","[6372936714, 6372936715, 6372936716, 6372936717, 6372936714]",dormitory,,,,,,,,,,,,,,,,,
way,680607562,"POLYGON ((112.9398346 28.1790677, 112.9398326 28.1789732, 112.9404576 28.1789631, 112.9404595 28.1790577, 112.9398346 28.1790677))","[6372936718, 6372936719, 6372936720, 6372936721, 6372936718]",dormitory,,,,,,,,,,,,,,,,,
way,680607563,"POLYGON ((112.9395194 28.1799961, 112.9395408 28.1799368, 112.9397032 28.179976, 112.9396897 28.1800346, 112.9395194 28.1799961))","[6372936722, 6372936723, 6372936724, 6372936725, 6372936722]",retail,,,,,,,,,,,,,,,,,
way,680607564,"POLYGON ((112.939553 28.179886, 112.9395689 28.1798352, 112.9397259 28.1798827, 112.939711 28.1799311, 112.939553 28.179886))","[6372936726, 6372936727, 6372936728, 6372936729, 6372936726]",retail,,,,,,,,,,,,,,,,,
way,680607565,"POLYGON ((112.9395839 28.1797925, 112.9395957 28.1797375, 112.9397487 28.179769, 112.9397334 28.1798247, 112.9395839 28.1797925))","[6372936730, 6372936731, 6372936732, 6372936733, 6372936730]",retail,,,,,,,,,,,,,,,,,
way,680607566,"POLYGON ((112.9396406 28.179688, 112.9396673 28.17961, 112.9397477 28.1796314, 112.939721 28.1797094, 112.9396406 28.179688))","[6372936734, 6372936735, 6372936736, 6372936737, 6372936734]",retail,,,,,,,,,,,,,,,,,
way,680607567,"POLYGON ((112.9396691 28.1795437, 112.9396912 28.1794831, 112.9397808 28.1795085, 112.9397587 28.1795691, 112.9396691 28.1795437))","[6372936738, 6372936739, 6372936740, 6372936741, 6372936738]",retail,,,,,,,,,,,,,,,,,
way,826336731,"POLYGON ((112.9448021 28.1848731, 112.9447123 28.1848734, 112.9443458 28.1848351, 112.9439705 28.1848451, 112.9439705 28.184617, 112.9447963 28.1845662, 112.9447982 28.1846843, 112.9448021 28.1848731))","[7715240946, 7715240947, 9066188893, 7715240948, 3444500166, 3444500167, 7715240949, 7715240946]",yes,,湖南大学机器人学院,,,,,,,,3,,,,,,,
way,826336732,"POLYGON ((112.9446528 28.1850758, 112.944778 28.1850758, 112.9447742 28.1855573, 112.9446717 28.1855606, 112.9446452 28.1854302, 112.9446528 28.1850758))","[7715240950, 7715240951, 7715240952, 7715240953, 7715240954, 7715240950]",yes,,B2栋,,,,,,,,2,,,,,,,
way,826336733,"POLYGON ((112.945037 28.1853412, 112.9450289 28.1852194, 112.9454314 28.1852176, 112.9454354 28.1853412, 112.945037 28.1853412))","[7715240955, 7715240956, 7715240957, 7715240958, 7715240955]",residential,,凤凰山庄1栋,,,,,,,,7,,,,,,,
way,826336734,"POLYGON ((112.9454235 28.1855743, 112.9454335 28.1854508, 112.9450706 28.1854596, 112.9450706 28.1855809, 112.9454235 28.1855743))","[7715240959, 7715240960, 7715240961, 7715240962, 7715240959]",residential,,凤凰山庄2栋,,,,,,,,7,,,,,,,
way,826336735,"POLYGON ((112.9447124 28.1834945, 112.9448344 28.1834997, 112.9448324 28.1834246, 112.9449675 28.1834149, 112.9449679 28.1831768, 112.9447164 28.1831749, 112.9447124 28.1834945))","[7715240963, 7715240964, 7715240965, 7715240966, 7715240967, 7715240968, 7715240963]",yes,,D1栋,,,,,,,,2,,,,,,,
way,826336736,"POLYGON ((112.9450986 28.1833642, 112.9452392 28.1833768, 112.9452947 28.183032, 112.945141 28.183018, 112.9450986 28.1833642))","[7715240969, 7715240970, 7715240971, 7715240972, 7715240969]",yes,,D4栋,,,,,,,,2,,,,,,,
way,826336740,"POLYGON ((112.9447428 28.1859307, 112.944918 28.1859881, 112.9449706 28.1859131, 112.9450732 28.1859153, 112.9450957 28.1858469, 112.9450456 28.1858249, 112.9451182 28.1856219, 112.9449681 28.18558, 112.9448855 28.1855624, 112.9447428 28.1859307))","[7715264697, 7715264698, 7715264699, 7715264700, 7715264701, 7715264702, 7715264703, 7715264704, 7715264705, 7715264697]",yes,,机器人研究院,,,,,,,,3,,,,,,,
way,826336741,"POLYGON ((112.9441623 28.1872306, 112.9441953 28.1872248, 112.9442531 28.187024, 112.9442184 28.1869948, 112.9441785 28.1869582, 112.9440896 28.1870822, 112.9441623 28.1872306))","[7715264706, 7715264707, 7715264708, 7715264709, 7715264710, 7715264711, 7715264706]",yes,,星巴克,,,,,,,,1,,,,,,,
way,826336742,"POLYGON ((112.9448469 28.1847132, 112.9450685 28.1846792, 112.9450868 28.1844427, 112.9448754 28.1844929, 112.9448428 28.1845394, 112.9448469 28.1847132))","[7715264712, 7715264713, 7715264714, 7715264715, 7715264716, 7715264712]",yes,,方叔章公馆,,,,,,,,2,,,,,,,
