u,v,key,osmid,highway,oneway,reversed,length,geometry
6831490850,6831490851,0,729165792,service,False,True,95.917,"LINESTRING (113.6584401 34.7811294, 113.6584434 34.781992)"
6831490851,6831490850,0,729165792,service,False,False,95.917,"LINESTRING (113.6584434 34.781992, 113.6584401 34.7811294)"
6831490851,6831490854,0,729165848,service,False,False,103.009,"LINESTRING (113.6584434 34.781992, 113.6595713 34.7819891)"
6831490851,6831831071,0,729165848,service,False,True,28.412,"LINESTRING (113.6584434 34.781992, 113.6581323 34.7819928)"
6831490852,6831490854,0,729165793,service,False,True,171.72899999999998,"LINESTRING (113.6587317 34.7811338, 113.659568 34.7811316, 113.6595713 34.7819891)"
6831490854,6831490851,0,729165848,service,False,True,103.009,"LINESTRING (113.6595713 34.7819891, 113.6584434 34.781992)"
6831490854,6831490852,0,729165793,service,False,False,171.72899999999998,"LINESTRING (113.6595713 34.7819891, 113.659568 34.7811316, 113.6587317 34.7811338)"
6831490854,6831491241,0,"[729165848, 729165849]",service,False,"[False, True]",146.666,"LINESTRING (113.6595713 34.7819891, 113.6599683 34.7819881, 113.6599588 34.782981)"
6831491231,6831831071,0,729165848,service,False,False,46.423,"LINESTRING (113.657624 34.7819951, 113.6581323 34.7819928)"
6831491231,6831491243,0,729165848,service,False,True,85.77199999999999,"LINESTRING (113.657624 34.7819951, 113.6567456 34.7819963, 113.6566852 34.7820018)"
6831491241,6831831072,0,729205963,service,False,True,76.97,"LINESTRING (113.6599588 34.782981, 113.659116 34.7829791)"
6831491241,6831490854,0,"[729165848, 729165849]",service,False,"[False, True]",146.666,"LINESTRING (113.6599588 34.782981, 113.6599683 34.7819881, 113.6595713 34.7819891)"
6831491241,6831830737,0,729165849,service,False,True,231.089,"LINESTRING (113.6599588 34.782981, 113.6599508 34.7838181, 113.6599159 34.7838468, 113.6598515 34.7838688, 113.6584595 34.7838667)"
6831491243,6831830838,0,729165846,service,False,True,276.284,"LINESTRING (113.6566852 34.7820018, 113.6565645 34.7819897, 113.6558819 34.7819875, 113.6557853 34.7819809, 113.6557518 34.7819434, 113.6557142 34.7819005, 113.6556311 34.7818531, 113.6555292 34.7818289, 113.6537334 34.7818289)"
6831491243,6831491231,0,729165848,service,False,False,85.77199999999999,"LINESTRING (113.6566852 34.7820018, 113.6567456 34.7819963, 113.657624 34.7819951)"
6831491243,6831793240,0,729165848,service,False,True,134.51,"LINESTRING (113.6566852 34.7820018, 113.656645 34.7820205, 113.6565685 34.7821197, 113.6565872 34.7831739)"
6831491246,6831793240,0,729165848,service,False,False,76.722,"LINESTRING (113.6565994 34.7838638, 113.6565872 34.7831739)"
6831491246,6831831074,0,729165849,service,False,False,142.532,"LINESTRING (113.6565994 34.7838638, 113.6581601 34.7838662)"
6831491246,6831830962,0,729165849,service,False,True,499.073,"LINESTRING (113.6565994 34.7838638, 113.6555144 34.7838578, 113.655507 34.7841254, 113.6555003 34.7841398, 113.6554722 34.7841535, 113.6541384 34.7841596, 113.6537643 34.7841613, 113.6537599 34.7835086, 113.6537088 34.7834672, 113.6533285 34.7834689, 113.6532715 34.7834422, 113.6532557 34.7833946, 113.653248 34.7826374)"
6831793239,6831793240,0,729205850,service,False,True,93.464,"LINESTRING (113.6576106 34.7831705, 113.6565872 34.7831739)"
6831793240,6831491246,0,729165848,service,False,True,76.722,"LINESTRING (113.6565872 34.7831739, 113.6565994 34.7838638)"
6831793240,6831793239,0,729205850,service,False,False,93.464,"LINESTRING (113.6565872 34.7831739, 113.6576106 34.7831705)"
6831793240,6831491243,0,729165848,service,False,False,134.51,"LINESTRING (113.6565872 34.7831739, 113.6565685 34.7821197, 113.656645 34.7820205, 113.6566852 34.7820018)"
6831830736,6831830737,0,729205899,service,False,True,82.057,"LINESTRING (113.6584702 34.7846046, 113.6584595 34.7838667)"
6831830737,6831831074,0,729165849,service,False,True,27.343,"LINESTRING (113.6584595 34.7838667, 113.6581601 34.7838662)"
6831830737,6831830736,0,729205899,service,False,False,82.057,"LINESTRING (113.6584595 34.7838667, 113.6584702 34.7846046)"
6831830737,6831491241,0,729165849,service,False,False,231.089,"LINESTRING (113.6584595 34.7838667, 113.6598515 34.7838688, 113.6599159 34.7838468, 113.6599508 34.7838181, 113.6599588 34.782981)"
6831830835,6831830844,0,729165846,service,False,True,13.416,"LINESTRING (113.6530582 34.7818289, 113.6529113 34.7818289)"
6831830835,6831830840,0,729165846,service,False,False,56.157999999999994,"LINESTRING (113.6530582 34.7818289, 113.6530951 34.7818289, 113.6536731 34.7818289)"
6831830835,6831830962,0,729205921,service,False,True,104.33500000000001,"LINESTRING (113.6530582 34.7818289, 113.6530582 34.7825861, 113.6530803 34.7826214, 113.6531205 34.7826374, 113.653248 34.7826374)"
6831830838,6831830840,0,729165846,service,False,True,5.507,"LINESTRING (113.6537334 34.7818289, 113.6536731 34.7818289)"
6831830838,6831491243,0,729165846,service,False,False,276.284,"LINESTRING (113.6537334 34.7818289, 113.6555292 34.7818289, 113.6556311 34.7818531, 113.6557142 34.7819005, 113.6557518 34.7819434, 113.6557853 34.7819809, 113.6558819 34.7819875, 113.6565645 34.7819897, 113.6566852 34.7820018)"
6831830838,6831830962,0,729205922,service,False,True,134.231,"LINESTRING (113.6537334 34.7818289, 113.6537334 34.7826374, 113.653248 34.7826374)"
6831830840,6831830838,0,729165846,service,False,False,5.507,"LINESTRING (113.6536731 34.7818289, 113.6537334 34.7818289)"
6831830840,6831830835,0,729165846,service,False,True,56.157999999999994,"LINESTRING (113.6536731 34.7818289, 113.6530951 34.7818289, 113.6530582 34.7818289)"
6831830840,6831830844,0,729205923,service,False,True,182.8,"LINESTRING (113.6536731 34.7818289, 113.6536731 34.7813067, 113.6529548 34.7813067, 113.6529113 34.7813684, 113.6529113 34.7818289)"
6831830844,6831830835,0,729165846,service,False,False,13.416,"LINESTRING (113.6529113 34.7818289, 113.6530582 34.7818289)"
6831830844,6831830845,0,729165846,service,False,True,36.248,"LINESTRING (113.6529113 34.7818289, 113.6525144 34.7818289)"
6831830844,6831830840,0,729205923,service,False,False,182.8,"LINESTRING (113.6529113 34.7818289, 113.6529113 34.7813684, 113.6529548 34.7813067, 113.6536731 34.7813067, 113.6536731 34.7818289)"
6831830845,6831830844,0,729165846,service,False,False,36.248,"LINESTRING (113.6525144 34.7818289, 113.6529113 34.7818289)"
6831830962,6831491246,0,729165849,service,False,False,499.073,"LINESTRING (113.653248 34.7826374, 113.6532557 34.7833946, 113.6532715 34.7834422, 113.6533285 34.7834689, 113.6537088 34.7834672, 113.6537599 34.7835086, 113.6537643 34.7841613, 113.6541384 34.7841596, 113.6554722 34.7841535, 113.6555003 34.7841398, 113.655507 34.7841254, 113.6555144 34.7838578, 113.6565994 34.7838638)"
6831830962,6831830835,0,729205921,service,False,False,104.33500000000001,"LINESTRING (113.653248 34.7826374, 113.6531205 34.7826374, 113.6530803 34.7826214, 113.6530582 34.7825861, 113.6530582 34.7818289)"
6831830962,6831830838,0,729205922,service,False,False,134.231,"LINESTRING (113.653248 34.7826374, 113.6537334 34.7826374, 113.6537334 34.7818289)"
6831831071,6831490851,0,729165848,service,False,False,28.412,"LINESTRING (113.6581323 34.7819928, 113.6584434 34.781992)"
6831831071,6831491231,0,729165848,service,False,True,46.423,"LINESTRING (113.6581323 34.7819928, 113.657624 34.7819951)"
6831831071,6831831075,0,729205964,service,False,True,110.781,"LINESTRING (113.6581323 34.7819928, 113.6581471 34.782989)"
6831831072,6831491241,0,729205963,service,False,False,76.97,"LINESTRING (113.659116 34.7829791, 113.6599588 34.782981)"
6831831072,6831831073,0,729205966,service,False,False,37.54200000000001,"LINESTRING (113.659116 34.7829791, 113.6591108 34.7829484, 113.6590953 34.7829205, 113.6590708 34.7828974, 113.6590392 34.782881, 113.6590032 34.7828727, 113.6589658 34.7828732, 113.6589302 34.7828824, 113.6589018 34.7828978, 113.6588792 34.7829188, 113.6588641 34.7829439, 113.6588575 34.7829713, 113.6588584 34.7829819)"
6831831072,6831831073,1,729205966,service,False,True,36.443,"LINESTRING (113.659116 34.7829791, 113.6591103 34.7830091, 113.6590943 34.7830369, 113.6590694 34.7830597, 113.6590375 34.7830757, 113.6590006 34.7830837, 113.6589625 34.7830825, 113.6589265 34.7830722, 113.6588957 34.7830537, 113.6588728 34.7830286, 113.6588598 34.7829992, 113.6588584 34.7829819)"
6831831073,6831831075,0,729205965,service,False,True,64.965,"LINESTRING (113.6588584 34.7829819, 113.6581471 34.782989)"
6831831073,6831831072,0,729205966,service,False,False,36.443,"LINESTRING (113.6588584 34.7829819, 113.6588598 34.7829992, 113.6588728 34.7830286, 113.6588957 34.7830537, 113.6589265 34.7830722, 113.6589625 34.7830825, 113.6590006 34.7830837, 113.6590375 34.7830757, 113.6590694 34.7830597, 113.6590943 34.7830369, 113.6591103 34.7830091, 113.659116 34.7829791)"
6831831073,6831831072,1,729205966,service,False,True,37.542,"LINESTRING (113.6588584 34.7829819, 113.6588575 34.7829713, 113.6588641 34.7829439, 113.6588792 34.7829188, 113.6589018 34.7828978, 113.6589302 34.7828824, 113.6589658 34.7828732, 113.6590032 34.7828727, 113.6590392 34.782881, 113.6590708 34.7828974, 113.6590953 34.7829205, 113.6591108 34.7829484, 113.659116 34.7829791)"
6831831074,6831830737,0,729165849,service,False,False,27.343,"LINESTRING (113.6581601 34.7838662, 113.6584595 34.7838667)"
6831831074,6831491246,0,729165849,service,False,True,142.532,"LINESTRING (113.6581601 34.7838662, 113.6565994 34.7838638)"
6831831074,6831831075,0,729205964,service,False,False,97.548,"LINESTRING (113.6581601 34.7838662, 113.6581471 34.782989)"
6831831075,6831831071,0,729205964,service,False,False,110.781,"LINESTRING (113.6581471 34.782989, 113.6581323 34.7819928)"
6831831075,6831831074,0,729205964,service,False,True,97.548,"LINESTRING (113.6581471 34.782989, 113.6581601 34.7838662)"
6831831075,6831831073,0,729205965,service,False,False,64.965,"LINESTRING (113.6581471 34.782989, 113.6588584 34.7829819)"
